('37271406470601066', '0758', '262', '240', False)
('985532141748688', '1232', '276', '609', False)
('9958088506720', '0299', '895', '926', True)
('53516061964032922', '3355', '814', '323', False)
('219488815421363522', '1067', '618', '309', False)
('262834795526727', '0754', '018', '938', True)
('0621231673470175975', '1165', '850', '207', True)
('816169904975907014', '1033', '414', '989', False)
('98718434560158849', '0444', '074', '630', False)
('7558054828759272', '0394', '791', '354', False)
('57273003327215', '6059', '040', '325', False)
('2535621198492767360', '0725', '193', '385', False)
('7440984918136803', '0354', '990', '001', False)
('8836103633813', '0199', '795', '342', True)
('052226966520388', '0881', '779', '764', False)
('76527463922634', '0989', '927', '175', True)
('64030519918942086', '0430', '085', '899', True)
('3225747763656450815', '0594', '703', '773', True)
('624590097284854600', '9166', '912', '908', False)
('495505061322861539', '0690', '825', '079', True)
('7752981532702822', '0626', '534', '304', True)
('151061034788611', '1278', '295', '530', False)
('635786749200998008', '0432', '274', '693', False)
('2529808150522294', '0640', '155', '686', True)
('44468620570231', '7321', '687', '343', False)
('75742749462336', '0663', '568', '372', False)
('092984351614244295', '0337', '929', '133', True)
('924259437536550729', '0948', '900', '543', False)
('7212240073033592206', '0467', '737', '531', False)
('357868351190490', '0892', '906', '959', True)
('0400410968740409176', '0529', '242', '331', True)
('36011140552931', '1298', '998', '467', False)
('1556701474820866', '0370', '418', '415', False)
('5413250531073873', '0941', '298', '053', True)
('275211790832655475', '1140', '266', '545', True)
('9788949357876', '0935', '560', '974', True)
('2415361587054660', '2794', '433', '797', False)
('86381075566588729', '0737', '216', '946', True)
('130975937173777', '0380', '439', '422', True)
('5296948658641088017', '6256', '016', '692', False)
('22409906577454', '0261', '628', '035', False)
('73936059357233', '1047', '447', '222', False)
('9900797954714914', '0129', '248', '966', False)
('81847342831951', '0578', '042', '367', True)
('2199690999188', '5219', '342', '129', False)
('57877611913412338', '0439', '470', '413', True)
('98273477797910', '0356', '817', '890', True)
('659263799783905', '0832', '224', '246', True)
('6274180541679', '0173', '859', '050', False)
('3441158095334', '0255', '704', '164', False)
('952239448473324', '1277', '495', '431', True)
('0111487987033580031', '0751', '389', '562', True)
('429124595079911377', '1037', '297', '077', True)
('87043912274672486', '0938', '306', '773', True)
('2926390670736', '1178', '095', '938', False)
('93678377608183461', '6555', '197', '173', False)
('7427729921461851136', '0487', '220', '558', False)
('4170742283153115', '1167', '690', '349', False)
('7592062288379695787', '0333', '174', '781', False)
('94883123097137', '3414', '579', '294', False)
('3134058202688873220', '2577', '321', '129', False)
('614357745826513', '0725', '816', '007', True)
('8355334918295302740', '0472', '483', '031', False)
('9662569334462', '0175', '413', '589', False)
('0643729865387843827', '1248', '985', '044', True)
('804143774521369', '5380', '886', '546', False)
('3494460756242', '0849', '100', '441', True)
('9912139241860737', '9092', '153', '129', False)
('0494665189994', '0981', '223', '511', True)
('655486330658814285', '0535', '726', '071', True)
('3327881776629464', '1083', '687', '223', True)
('004746558310714', '7577', '502', '898', False)
('4239014056728750338', '0478', '388', '787', True)
('314523108589639693', '0181', '796', '734', True)
('360747848506809639', '0248', '375', '765', False)
('64798915933442882', '5776', '040', '570', False)
('9458090126031326', '0186', '502', '164', True)
('7014399666917838568', '0857', '419', '962', True)
('239075334992496916', '0599', '346', '243', False)
('29148336758564', '1516', '340', '040', False)
('94910482334028232', '0696', '200', '609', True)
('1216160093780518', '1149', '197', '850', False)
('0827869293247', '0651', '685', '305', True)
('5428610913384', '0684', '567', '354', True)
('304836739108990416', '0933', '124', '762', False)
('43655023047509', '8446', '919', '376', False)
('114323031467170571', '1040', '982', '942', True)
('9026999539814891', '0880', '196', '478', True)
('79175448880163971', '2368', '131', '425', False)
('9062545367018303368', '1141', '994', '775', True)
('23743622550491018', '0474', '588', '938', False)
('598335772111496', '7014', '402', '042', False)
('045534001356398', '0729', '670', '774', True)
('9678940948352769', '0648', '782', '475', False)
('8759426029835177963', '0442', '910', '658', False)
('9327116180517222089', '0933', '405', '690', False)
('669631228694885', '0656', '529', '195', False)
('97983859846041', '0776', '228', '590', True)
('861606476934684155', '0827', '888', '959', True)
('6273830159023313', '1177', '803', '865', True)
('3413669250428650', '1196', '960', '972', True)
('2133799393066977142', '0591', '457', '530', False)
('1194927659146151', '0173', '225', '243', True)
('39928771117980', '0482', '529', '022', True)
('905873994660562271', '0781', '259', '072', True)
('7176149726434051', '0663', '774', '354', True)
('8428361346984558978', '9782', '523', '536', False)
('7143287227041916', '3613', '359', '587', False)
('78214960757700581', '1061', '229', '381', True)
('3530785823470', '0984', '305', '670', False)
('88488373048591512', '9771', '618', '663', False)
('9987631637065', '0982', '959', '500', False)
('43412579313137155', '0499', '816', '097', True)
('9367113787595369976', '0978', '805', '029', True)
('065694040407813716', '0427', '783', '653', False)
('334972812174263', '0695', '897', '069', True)
('3744219457639362424', '1588', '906', '380', False)
('5494215319532087', '0799', '353', '446', False)
('2088934684542', '0555', '900', '560', True)
('2351136180761490533', '1040', '208', '421', True)
('3558886970891919', '1246', '025', '881', True)
('0081702761126463155', '5063', '241', '113', False)
('6637966839287', '0629', '564', '913', True)
('6616861019475451097', '0468', '927', '339', False)
('42803076563466334', '0979', '348', '323', True)
('37133666902866920', '0826', '534', '557', True)
('948216882691758', '0542', '615', '425', False)
('18845305960811382', '1269', '472', '382', True)
('123548888313939', '0642', '227', '879', True)
('5161809535517773', '0545', '614', '750', False)
('316214426008351602', '1031', '922', '091', True)
('432584284662849347', '7038', '132', '961', False)
('9782417995874145115', '0129', '823', '174', True)
('6214451625363959064', '2082', '242', '734', False)
('1031832138394', '0536', '691', '733', False)
('8355194373866', '1273', '000', '218', True)
('9080030183757030490', '1241', '491', '071', True)
('47761470739386', '0433', '386', '643', True)
('1707666282393793946', '0449', '963', '314', True)
('3084447186892', '0275', '484', '156', True)
('36694620372398248', '7636', '322', '455', False)
('364766832583944541', '0561', '127', '139', True)
('7285746551437513105', '1198', '948', '556', True)
('88743048530403019', '0868', '756', '124', True)
('459980273651975', '0895', '376', '910', False)
('7291164028042585', '1168', '182', '330', True)
('733394181589733623', '0875', '266', '441', True)
('6170573875026925328', '0874', '824', '468', False)
('1656789003769', '1279', '968', '264', True)
('7487538240547592670', '0470', '126', '252', True)
('582709336804077', '0331', '091', '244', True)
('6904295295015', '6115', '669', '856', False)
('18933194453169455', '0983', '333', '196', False)
('7968077951818351960', '0863', '922', '463', True)
('48403957166891047', '0687', '658', '781', True)
('4879930315030583', '0796', '158', '434', True)
('37800627570260', '1239', '736', '134', True)
('841094994297261', '0443', '266', '656', True)
('83656729905215', '0238', '620', '913', True)
('314880117136362', '1153', '662', '211', True)
('1258903432074730801', '8870', '195', '474', False)
('70366835436858', '0265', '121', '582', True)
('0306204944822', '0839', '489', '462', True)
('22796329016452', '0196', '368', '712', True)
('45926175815607', '4875', '604', '956', False)
('1808780943542877', '0373', '160', '082', True)
('83353337346822', '0737', '616', '210', True)
('8500495080999314490', '0541', '213', '668', True)
('66043944379008', '1160', '659', '117', False)
('9915576526420', '0649', '072', '406', True)
('0885077683255217927', '1242', '314', '902', False)
('90251625457502', '6424', '835', '503', False)
('88617666153826', '1138', '430', '146', True)
('74968008305966473', '0332', '462', '190', False)
('3239379479677770', '5392', '305', '252', False)
('11920094298557', '4005', '767', '385', False)
('65217772645788390', '0727', '472', '882', False)
('8361924257456209', '0365', '490', '993', False)
('08568825436502', '0728', '101', '610', False)
('28286411979175', '9066', '778', '854', False)
('69410897747670', '0754', '516', '555', False)
('7289028592972', '0358', '289', '714', False)
('335892897565319779', '1128', '204', '114', True)
('4254668218695', '2168', '825', '112', False)
('73945266621125', '1165', '714', '188', True)
('226019895129540', '0338', '598', '140', True)
('8576723870216143784', '0930', '624', '209', False)
('60294289811081', '0368', '732', '513', True)
('63851716718582934', '1276', '299', '118', True)
('155939057601422619', '0186', '317', '771', True)
('8390726111251821109', '3531', '941', '383', False)
('3154255948227282260', '0333', '957', '090', False)
('08742168122517635', '0725', '473', '323', False)
('3573639186947305180', '3381', '978', '753', False)
('366586474585326', '0578', '570', '601', True)
('7176358309332520513', '0463', '098', '821', True)
('9833888591356', '9102', '942', '260', False)
('259125500924699', '0958', '557', '011', False)
('86178859129711', '9586', '401', '061', False)
('05179933153332362', '0156', '011', '467', True)
('4101710199557', '1087', '513', '821', False)
('3974753668635385210', '1198', '696', '575', True)
('58383346582428761', '0344', '355', '318', False)
('05439527544196', '1291', '121', '856', False)
('67260111134334', '0294', '379', '379', True)
('8706723670789608718', '0940', '931', '054', False)
('323026623407267447', '0941', '973', '074', True)
('197023077485428', '0240', '854', '793', False)
('78415710377876489', '0543', '074', '854', False)
('6750167638841', '0648', '528', '878', False)
('0375029730294', '8667', '237', '490', False)
('450442469006046', '0826', '157', '580', False)
('79390728201147', '0755', '975', '744', True)
('1957122029853', '0736', '922', '645', True)
('3625114562377837573', '0582', '537', '510', True)
('19030175973710720', '1243', '539', '786', True)
('7091107053243312298', '0935', '053', '621', True)
('4431641731438', '0155', '481', '418', True)
('98151745787981389', '0942', '280', '856', False)
('6991822065858370', '0257', '811', '771', True)
('976885053578392730', '0441', '392', '690', True)
('5127694289806648859', '7650', '458', '271', False)
('2085915110756403', '0342', '633', '938', False)
('954584805564552283', '0864', '101', '126', False)
('365879957990001', '0963', '418', '319', True)
('81736312567572', '1062', '908', '472', True)
('011540376722685987', '4259', '260', '241', False)
('246376289798041', '0246', '545', '505', False)
('648319092937467164', '1187', '962', '721', True)
('0067369079314347755', '0925', '551', '317', False)
('060599991269135019', '0790', '118', '338', True)
('3837431696335453479', '1050', '455', '543', False)
('074481472050402282', '1061', '646', '420', False)
('2135842361248266294', '0294', '741', '885', False)
('8269667284734', '0191', '870', '351', True)
('755879610553848', '0493', '689', '689', True)
('44627896524658434', '0843', '005', '152', True)
('74796528899549', '0954', '911', '081', False)
('23062844211690669', '0173', '469', '162', False)
('8802995146567130', '0437', '621', '093', True)
('16091601136576', '0185', '201', '529', False)
('5286023888027', '0249', '319', '234', False)
('7401917354154705928', '1174', '965', '327', False)
('0288944324734938610', '0185', '919', '533', False)
('571715868408722', '0233', '759', '886', False)
('75504528578874847', '1052', '836', '652', True)
('61893900236831', '0868', '910', '622', True)
('1391419673105992', '9240', '267', '855', False)
('0078238978942947', '0386', '267', '577', False)
('829845817161554769', '0928', '303', '124', False)
('60584169867136724', '0361', '825', '292', True)
('636121946980106552', '1037', '981', '026', False)
('1860686778306117258', '1083', '977', '077', True)
('82147194767485359', '1156', '234', '935', False)
('6487138346252', '0486', '826', '220', True)
('4527876102512329684', '0157', '099', '397', True)
('31152960556679781', '0846', '287', '783', False)
('803417983307573726', '5497', '657', '443', False)
('9961592864841', '0891', '017', '711', True)
('3771681703796076', '1146', '453', '564', False)
('94100177224875', '4036', '961', '657', False)
('6158416097283911893', '0379', '526', '288', True)
('5638878300914', '3954', '122', '025', False)
('8906672414015937', '0772', '973', '029', True)
('8555819996077702', '0981', '304', '018', True)
('190465073244688', '0593', '664', '792', True)
('66757865291658', '5250', '985', '737', False)
('9333185545551', '0250', '112', '768', True)
('3207860188944039', '0884', '633', '448', False)
('47280688528408', '1515', '247', '790', False)
('65511441507649136', '1065', '491', '976', True)
('123104578736299538', '2698', '718', '484', False)
('849092184980441', '1068', '477', '537', False)
('0825313545809660836', '1155', '980', '153', True)
('55636542018994', '0727', '465', '207', True)
('6298196636329488', '0192', '102', '572', True)
('552624084346768450', '0733', '429', '932', False)
('96153301260610', '0969', '707', '624', False)
('91571850008395010', '0986', '668', '870', True)
('8524368337136', '0335', '777', '663', False)
('910030568393281829', '0290', '492', '528', True)
('4247882415550', '8965', '643', '293', False)
('9623120975907894', '0692', '718', '060', False)
('37262862160911317', '1175', '245', '179', True)
('356254810432258839', '1249', '697', '460', True)
('00420845392175903', '1138', '979', '026', False)
('7094338804817522', '8981', '368', '388', False)
('8431437077254098', '4527', '872', '989', False)
('16459656686284', '1055', '602', '333', False)
('7963154292219328324', '0979', '648', '218', False)
('4819706501797', '3041', '263', '483', False)
('198607744639745', '0599', '877', '086', True)
('8735945305699', '0247', '613', '439', True)
('8174764354077', '0776', '667', '858', True)
('7908132838820401900', '0529', '565', '777', True)
('52747798102615', '1146', '065', '297', False)
('2308170439953', '0937', '305', '532', False)
('3824408628006', '0499', '233', '568', True)
('5242751618204304', '0459', '224', '183', False)
('727905901645475', '0245', '111', '322', True)
('7502661259034', '3276', '636', '586', False)
('2198905541515499352', '0397', '398', '523', False)
('766490953124699664', '0594', '606', '975', False)
('775850417055739', '1126', '344', '407', False)
('234650479923252', '1097', '379', '795', True)
('46721512730414', '0831', '456', '514', False)
('3235572196368664183', '0739', '381', '193', False)
('3052120096058224552', '0446', '469', '120', True)
('4253902166355', '0889', '231', '277', False)
('40343821317720419', '0534', '437', '501', False)
('68139494031082486', '0398', '762', '785', False)
('136378394384667211', '0137', '908', '416', True)
('7882406339291061', '0556', '174', '844', True)
('95740945917810', '0566', '361', '059', True)
('405005814019983717', '0576', '453', '644', True)
('85768933572783186', '0471', '531', '228', True)
('2632963968623695', '0926', '469', '082', False)
('45841106572492', '0395', '949', '090', False)
('35433452020673378', '0758', '412', '350', True)
('8799491894024461', '0194', '567', '237', True)
('13420969537154999', '0581', '922', '776', False)
('1080046267373433', '7479', '358', '580', False)
('710277981139342209', '0932', '818', '992', True)
('57474523035892767', '0470', '085', '931', True)
('4460010669367488', '0442', '317', '025', True)
('3611477287099891176', '0384', '394', '443', True)
('541304778858543496', '0796', '954', '982', True)
('68940697851360621', '0962', '603', '824', True)
('639600884319009177', '0351', '069', '633', True)
('3947613775167304521', '1243', '018', '981', True)
('8806202528376348460', '0996', '103', '912', True)
('475142825052656439', '2911', '316', '613', False)
('017274120701380', '0559', '886', '624', True)
('62855382320408', '0263', '902', '448', False)
('9014324783467424772', '0190', '116', '378', False)
('2743000430903', '0993', '674', '386', True)
('857666951866534', '0447', '030', '139', True)
('2636219927646', '0368', '688', '843', False)
('60016580114327437', '1067', '665', '150', False)
('524487832422798782', '0249', '023', '940', True)
('44474202752809', '7974', '539', '931', False)
('01790195103231956', '0538', '402', '787', False)
('79869096630862763', '1045', '613', '745', True)
('1180649043795750', '1040', '638', '639', False)
('233238000278289294', '1176', '246', '738', False)
('4514049146117', '3324', '209', '611', False)
('7049387104813', '9551', '943', '333', False)
('762006464818058', '0381', '870', '688', True)
('551041549237340921', '1193', '302', '342', True)
('2761978691306', '0425', '229', '220', False)
('87807472532799', '0872', '260', '724', False)
('78699650153543', '0526', '190', '695', True)
('29902613549451936', '9723', '509', '663', False)
('214849245011467', '1194', '564', '692', False)
('4580533860585265408', '7824', '587', '019', False)
('3850215465405594', '0380', '174', '271', False)
('4862901459510', '1268', '277', '326', True)
('3679212905089850558', '0296', '673', '300', True)
('48935887838353273', '0167', '861', '508', True)
('8508066580527670', '5070', '369', '647', False)
('3540394421619915', '0977', '692', '040', False)
('4193803883387', '6053', '774', '445', False)
('522785270953398370', '0654', '234', '252', True)
('4197585107309507', '6766', '068', '608', False)
('0305480934911', '0825', '115', '873', True)
('458204380662200', '0885', '537', '238', True)
('96557029623543620', '1065', '995', '126', False)
('8745112039746', '0639', '512', '866', False)
('767163112583959', '0477', '583', '562', False)
('1802957214436802860', '1083', '178', '814', False)
('76234122742434', '1086', '431', '011', False)
('340435668668137', '0496', '284', '915', True)
('59066829016267451', '0261', '160', '879', False)
('1335631108576522509', '0129', '635', '293', True)
('8869768855243734', '0769', '705', '190', True)
('29921455092172346', '0178', '219', '937', True)
('1587144989184950399', '0139', '832', '997', False)
('328345043550565070', '0343', '232', '875', True)
('33625416709725364', '1244', '640', '949', False)
('5644980961178881360', '0855', '171', '378', True)
('7286699866518142532', '6178', '498', '099', False)
('2776620041247607192', '0167', '167', '791', True)
('580647795514630065', '0445', '621', '211', False)
('7073831102158248', '0171', '966', '432', True)
('3735860029902676', '8202', '356', '621', False)
('89969298367178', '0891', '526', '679', True)
('50396737322847363', '0247', '173', '415', True)
('5917459590296876', '1131', '550', '917', True)
('17153149219612292', '5967', '672', '762', False)
('37736804087617013', '3639', '098', '610', False)
('526635107969659', '1187', '958', '440', False)
('06076190582001', '1086', '305', '217', True)
('33994327980549139', '8209', '111', '649', False)
('442841292318741', '1053', '349', '325', False)
('204879362772882', '0930', '275', '568', True)
('9884662120038128438', '0681', '727', '737', False)
('0210355508134834', '0768', '104', '509', True)
('245235747884572', '0889', '549', '491', True)
('72950731239839052', '1868', '028', '330', False)
('5044557000430', '0856', '190', '056', False)
('52389844681091669', '0863', '744', '576', True)
('59519840668205', '1894', '593', '106', False)
('832935721118763629', '0341', '004', '993', True)
('3958055025552212836', '0275', '554', '394', True)
('163270018237562', '0169', '039', '900', True)
('1757297742649', '0532', '536', '320', False)
('452749164850381032', '0882', '210', '445', True)
('7841460853005', '0652', '582', '701', False)
('4910299052957', '0689', '141', '536', True)
('1990907410339028', '0667', '323', '908', True)
('8940091068721816300', '0887', '998', '986', True)
('8252443406888', '0927', '402', '824', False)
('470097237583628141', '0854', '865', '217', False)
('6649595693978390', '0162', '579', '657', False)
('13837060751252', '0598', '729', '619', True)
('37469693699905426', '0851', '924', '773', True)
('0659086119457570024', '0159', '253', '258', True)
('20937223453010740', '0175', '188', '396', False)
('046159766315816', '0157', '355', '863', False)
('40978645250712029', '1194', '600', '898', True)
('37175781527822', '0882', '357', '830', False)
('6228714975596469479', '0233', '202', '296', True)
('2091506892110315', '0762', '502', '015', True)
('633367190515920407', '7893', '921', '952', False)
('43842506346612', '0836', '772', '142', True)
('4503318212908', '0630', '862', '660', True)
('466619928393705', '0587', '635', '992', True)
('39662775964167575', '0626', '743', '915', True)
('93665011234867768', '7559', '692', '729', False)
('72693609556472', '0640', '282', '581', False)
('31600769834894015', '0528', '695', '915', True)
('22173571939825', '0948', '735', '953', True)
('7290302646667174', '0345', '491', '543', False)
('43954379814822', '0773', '404', '065', True)
('5033841998434036', '0133', '432', '816', False)
('1994570426745', '1243', '116', '404', True)
('36766984164645775', '1186', '874', '154', True)
('6479373867403891', '0743', '605', '367', False)
('302953369539569', '9447', '816', '233', False)
('51485789849157354', '5130', '485', '820', False)
('69747056648912', '0545', '594', '850', False)
('3056030295760320', '0595', '184', '262', True)
('90081445771844', '0386', '373', '282', True)
('790203621393761428', '0542', '199', '870', False)
('9291332668848593223', '0634', '451', '910', True)
('82606881692391778', '0346', '614', '946', False)
('70033885308730', '0293', '154', '526', True)
('5648067409469919', '1278', '975', '079', True)
('5626142225824658', '0846', '838', '919', False)
('9938613774518991329', '0158', '495', '443', True)
('776414360241975', '1163', '567', '650', False)
('1273732685435', '1057', '863', '035', True)
('436189284518904', '0877', '920', '082', False)
('215800344870028188', '0840', '477', '666', True)
('97750356351787', '2797', '637', '352', False)
('216482953432887', '1075', '967', '261', False)
('77363907011812646', '1261', '942', '167', False)
('5613831925107', '0660', '432', '229', True)
('70453072287564', '1285', '996', '041', False)
('8588849111639715326', '0388', '918', '832', False)
('60414019225549', '0256', '217', '895', True)
('2033339460325578310', '0879', '259', '094', False)
('3644104386295378', '0640', '410', '947', True)
('371438338364414459', '0552', '849', '531', True)
('5957299389888', '0659', '208', '629', True)
('9565884037907', '8505', '792', '304', False)
('1631363349773270536', '0264', '953', '532', True)
('46223793282322', '9722', '774', '033', False)
('69695267999725', '5834', '861', '762', False)
('981662714681566', '9102', '428', '742', False)
('4071355341097', '1262', '838', '909', True)
('50354715612644', '1049', '056', '885', True)
('9584950318729', '6290', '964', '299', False)
('056158281492529', '0329', '476', '920', True)
('49983811072300787', '0759', '768', '090', False)
('059325251841210', '8413', '331', '125', False)
('62125998764470196', '1847', '153', '760', False)
('2924533053491', '0657', '674', '870', True)
('59589779382284', '0955', '723', '344', True)
('88851819182370', '2536', '950', '747', False)
('11138870939217996', '8237', '782', '952', False)
('253257771905411', '0362', '704', '488', True)
('6823659148251945853', '8559', '049', '080', False)
('4883344085727382', '0650', '585', '675', True)
('29688841998650', '0997', '189', '802', False)
('37975855885455', '0349', '192', '300', True)
('77469312377364', '0848', '879', '715', True)
('2301445678030403', '1391', '471', '087', False)
('7722905955980588', '0862', '200', '799', True)
('638331346753170', '4203', '700', '277', False)
('650462996829615', '0858', '395', '264', False)
('970172962562228533', '0255', '279', '520', False)
('0414475760966', '0227', '249', '027', True)
('728687659518497994', '1029', '709', '117', False)
('499412647039176', '5689', '153', '219', False)
('232690303379158', '0899', '506', '682', True)
('28826663628714816', '0257', '228', '667', False)
('006553769273659', '2590', '609', '941', False)
('33002978849179', '0759', '894', '188', True)
('8994576834556142455', '0865', '083', '112', True)
('7836502067549', '8999', '600', '848', False)
('0765221751830787846', '0685', '131', '570', False)
('0825373155555', '0345', '068', '613', True)
('25528394727177', '0175', '745', '104', False)
('0095713571875', '0586', '227', '448', True)
('0883098478704355953', '0197', '520', '537', False)
('2068368644329', '1142', '111', '137', False)
('8019301066962', '1292', '925', '343', False)
('9474198560995', '1844', '215', '362', False)
('246030207909475', '0374', '367', '216', True)
('59338550156661640', '8104', '772', '576', False)
('232571683998595', '0980', '654', '205', False)
('3414193552269', '1039', '033', '036', False)
('592677549230921425', '0492', '027', '714', True)
('63979812612508690', '1293', '546', '556', False)
('33313176028353', '5624', '339', '907', False)
('238735118083846376', '0878', '739', '989', True)
('615528005353278', '3318', '618', '316', False)
('1139065592113851', '0172', '212', '077', True)
('679257607460456', '0632', '162', '622', False)
('9848051280967', '6445', '764', '179', False)
('806710014321871', '0129', '585', '323', True)
('8972769672895940699', '0864', '048', '084', True)
('1728212386060750', '0177', '855', '005', False)
('65358751564646', '0477', '653', '480', True)
('2092420043221', '1228', '464', '246', True)
('874139038290636440', '8715', '636', '475', False)
('38378924978022', '0632', '380', '225', True)
('79542423335923', '1059', '140', '212', False)
('44506762257238057', '1228', '132', '392', True)
('91328332033326522', '8195', '254', '783', False)
('95878049111177467', '1234', '441', '630', False)
('8230456685067739864', '5006', '656', '157', False)
('784302499816929861', '1199', '085', '612', False)
('151521732439674010', '0339', '589', '193', True)
('27247865023887', '6575', '717', '258', False)
('8995384335030840287', '0588', '165', '598', False)
('61375447877731', '9953', '902', '881', False)
('2868133264513', '9781', '108', '469', False)
('016391717399443', '0489', '334', '062', True)
('2328250842702484', '7016', '164', '303', False)
('458065683995958', '0697', '773', '381', False)
('528157732712048', '0832', '312', '812', True)
('4566835224250206', '0139', '348', '069', True)
('55421443270555060', '0685', '039', '872', True)
('0357754412391561981', '9550', '389', '121', False)
('5259007298366263', '0673', '888', '561', False)
('4850468227442773493', '1249', '065', '408', True)
('1337267501611397175', '8182', '233', '313', False)
('3814950964564', '0564', '634', '687', False)
('4760980047636209', '1164', '880', '702', False)
('449761748270309', '2791', '161', '879', False)
('286515825325992991', '0925', '698', '679', True)
('48025812626825200', '3056', '220', '724', False)
('5548389809420', '0972', '707', '917', True)
('361029770520760', '1082', '745', '274', False)
('11248176423319', '0638', '725', '985', True)
('622774752745586', '0862', '811', '165', False)
('602986165181316', '1230', '564', '190', True)
('80133268459913161', '1292', '406', '385', True)
('8428151115502591', '0844', '181', '860', True)
('4874737185320277402', '1293', '208', '835', False)
('21074453103467', '1225', '866', '988', True)
('05041510264667011', '0726', '221', '051', False)
('4832279130876853', '0843', '726', '482', False)
('505978898063018', '1225', '147', '302', True)
('278706033869450601', '0933', '768', '340', False)
('1084328060124055213', '0450', '744', '256', True)
('196673973584301', '1273', '353', '548', True)
('7271190986157820', '0794', '405', '042', True)
('57250411740445', '0334', '947', '900', True)
('273291465282460', '0949', '398', '670', True)
('82495692433416819', '1096', '113', '831', False)
('0864088566602041', '1266', '605', '436', True)
('32308393073842658', '1154', '671', '836', False)
('85313724892182', '3301', '868', '505', False)
('180722341985109342', '0288', '984', '836', False)
('570535816928688', '0230', '659', '539', False)
('3075809204191358316', '1247', '215', '807', False)
('70527246138107731', '0772', '148', '499', True)
('318718684570090365', '1128', '081', '302', True)
('751890230506785355', '0381', '147', '689', True)
('7475106983403', '0762', '576', '570', True)
('8877454043476904', '0489', '823', '194', True)
('3093819994063091786', '2468', '558', '315', False)
('4019921624268775', '0739', '932', '723', False)
('7897648761432986799', '5060', '317', '510', False)
('9548260905889309', '0143', '863', '524', True)
('97364139982015', '1982', '351', '817', False)
('41885554938937158', '0678', '212', '072', True)
('14099989886011', '1142', '009', '632', True)
('065193074032272', '0678', '633', '861', True)
