('811290390608389882', True)
('74508177007468', False)
('510202480800140', False)
('1009268989416', False)
('3882501212383', True)
('8875857649310', False)
('23936892813725666', False)
('93272344084807831', False)
('1980896737188', False)
('15168520348418305', True)
('42521048903788587', True)
('79290632581404', False)
('614399853347076969', True)
('15595874514823', False)
('511576168534627', False)
('4583207359780498739', False)
('687790837780085', True)
('82074029301690', False)
('72483300657740', True)
('20761614497082', True)
('555256907094178', False)
('52180316232559', False)
('6418623667562371444', True)
('68338464093538617', True)
('2074114974872', False)
('541269624852339395', True)
('664987887598823235', True)
('53519609173500', False)
('828636568391129766', False)
('554352066944649939', False)
('89841666031010311', False)
('402648981066889', False)
('93437642056297440', True)
('8830820879247', True)
('1320571842760358916', False)
('74913939125973964', False)
('9750156838556767367', False)
('6268427110995072872', True)
('88243043762610386', True)
('1998729049131861', True)
('74674273167372', True)
('5686820711093550', False)
('48967034236962', False)
('82156291763488009', True)
('49197956762030529', True)
('41842116894877448', False)
('1956133779389197', True)
('626708660395551', True)
('0425722206066', True)
('13754158869856168', True)
('0703150637915', False)
('729004697809846135', True)
('88080575743384785', True)
('55328644865572196', True)
('5201162582067', True)
('462147880884700775', True)
('9038225344840504379', True)
('97228365163170', True)
('4995597720827', True)
('22783316539704', False)
('95065694878805912', False)
('37519877452749796', False)
('583660419284456', True)
('9877279314641136', True)
('9023345403025501662', False)
('8401052373396109', False)
('6738509202767', False)
('60605706556852', False)
('4785844934721637470', False)
('4046094614202712', True)
('85616586661040456', True)
('66085696976861', True)
('408367579236340902', False)
('617297380247012', False)
('63833377564313', True)
('219837771699560', True)
('9239495083342986', False)
('6348142722488', False)
('2339743659459559', False)
('4262377607602890', False)
('40520881787359512', True)
('49635853660542', True)
('3145536028289', False)
('248164044315394', True)
('293377229633340', True)
('272536816774465717', True)
('093529522002756740', True)
('834632729007253', False)
('166144617030680612', False)
('65455022528014886', False)
('0467233415318065', False)
('886121772947704', True)
('8065983619995', False)
('5571012221133971', False)
('7420656763021425346', False)
('4843839657353961', False)
('48947450713690719', False)
('6637125622236', False)
('2404555197567887', True)
('9976614316919', False)
('211815391674320', False)
('15737463309617', True)
('396135364891363', False)
('660956993827447', True)
('08273813665986', True)
('715777035356566', False)
('81789387065709', False)
('5818374552412', False)
('1480854342089', False)
('5464951813580471', True)
('40405586129975665', True)
('5260730701744969', True)
('3124068145908', True)
('26177887562214702', False)
('4678929634405513813', False)
('34476790483398400', False)
('149929384943589', False)
('6845222491207451290', True)
('29502245444668', True)
('2039178545645603', False)
('6097727202600879', False)
('34464230154479811', True)
('32431033402431608', False)
('9976233558693353469', False)
('211404094523224', False)
('0331247867418', True)
('08894040387431', False)
('538045965139518', True)
('73209840110067', False)
('58544063324253', False)
('0015843814581249060', False)
('698874916338800882', False)
('154726733553773197', False)
('4665223964107565', True)
('31162827060600', True)
('7211275135271', True)
('688020643178296054', True)
('33302152624665', False)
('96130063245165906', True)
('213692826767709611', True)
('999736361874101702', False)
('80146202988527', False)
('88524173759444', False)
('9085269095701', True)
('09222420932427557', False)
('70190576326484146', True)
('57362058321476616', False)
('015977775226699969', True)
('0754599232326065', False)
('87457856845639665', True)
('074015616757646246', False)
('9725217498818678', True)
('4328067883034', False)
('900732600224363', True)
('84572540114482', True)
('266672203988006', True)
('767258651445550', True)
('1020516767881872', False)
('47774276748535', False)
('56816079735512', False)
('0535463794821987', True)
('27699011483466', False)
('0512548349630226953', False)
('8818495983283261754', True)
('25027503106829', True)
('07954709576525', False)
('136582883103283492', True)
('10864012493299', True)
('85560746281840', False)
('50338425375716641', True)
('1965234184863', False)
('959427902093635026', False)
('3474303499994', False)
('5709321908240760550', False)
('970430961380412', True)
('7325756396036', False)
('4068944303178071486', True)
('823634660760761', True)
('2324959756968', True)
('73871783336536', True)
('7747400211180', False)
('7737184865319', True)
('0254930111804549', False)
('715788935938228382', True)
('165886158682246315', False)
('79599406253671', True)
('343744611263314642', True)
('82720308853880', False)
('729337785499944', False)
('9392416705047061', True)
('9864850806935528', False)
('66143071726565', False)
('969645402541776', True)
('895884983560124', False)
('9090539570368', True)
('65333631373088', False)
('4530153094091', False)
('4793890977871525307', True)
('6556445546927', True)
('153023204794298', False)
('44335777361286', False)
('1464606744159452125', True)
('553679278934866', True)
('468396525880612', False)
('774655923281131467', False)
('3741364706760970', False)
('425464704246056', False)
('98073389293358', True)
('50459201713722176', False)
('57974428413411', True)
('7459326336483096588', True)
('538739983055486', False)
('3736715839679550', True)
('722896326658646', True)
('3396649889480322736', True)
('5316769787546751', True)
('86424533656401525', True)
('61043287558898122', False)
('92764469874441017', True)
('472843959362125', False)
('882121481213368', True)
('009038251343811', True)
('1299079216414064274', False)
('493665348900227444', False)
('801309618844860', True)
('6167192820082981', False)
('74775608657529424', True)
('806125581946358', False)
('1972936051282', True)
('81687348985090', False)
('4684003349343722', False)
('71833602067017', True)
('95352186709962675', True)
('319499763805348', False)
('942908808699891', True)
('4608360525314972411', False)
('2183273101818', False)
('2993802484823345622', False)
('2651854670732', True)
('4218245906947699747', True)
('5597445277305889', False)
('777234803330041', False)
('9681072721952', True)
('80794177193800677', False)
('42664766798444', True)
('5113344325378631', True)
('5557161443852', True)
('5668135712195771226', False)
('6850118118205415152', False)
('7441038548188567864', False)
('9553710461383099649', True)
('8583986906208060854', False)
('14629744432162', False)
('585486670973866', False)
('5206424422192', True)
('7690081387351266410', True)
('855894126965534', True)
('01980258287756', True)
('5207223039229', True)
('237352280281604678', True)
('20174758870173', True)
('1312527015109773', True)
('878899560084875', False)
('548155998830164949', False)
('9781842671725', False)
('9217143798174544', True)
('3829763899324', True)
('87714160422532198', True)
('313356224313554126', False)
('845637773446130750', False)
('3793502497800', True)
('6628060801169197', False)
('24425055608831', True)
('82714162778820', True)
('59425382806589516', True)
('450888378532710', True)
('731900466750543484', False)
('336489077244295', False)
('973458745232282058', True)
('4303568919063173867', True)
('273152149289323', True)
('6771701296142881560', True)
('898303559756047656', True)
('12815585146943045', False)
('3849535489945771273', True)
('6375070017981413', False)
('353226570230866', False)
('06610747150837', False)
('943471802281670661', False)
('0714311129479943', False)
('12563429671090962', True)
('48861341025862843', True)
('2808445547994348677', True)
('7887341198226897', False)
('60011208983571', True)
('4511080326648660417', True)
('3986558933599969602', True)
('926941432706361279', True)
('520935603691583', True)
('58747797012983', True)
('42121395850401', True)
('4123320726919944982', True)
('2529206693216781', True)
('48855123787179', False)
('90088880602228', True)
('95558196613643', False)
('68671941228733', False)
('610032072234649', False)
('310157207363482758', True)
('619784031732698', False)
('832527060334810391', False)
('1526427166105084252', True)
('3255017633949656', False)
('7095655145238808145', False)
('305010733321617', False)
('37122061744082345', False)
('425786349884139346', False)
('5575646161888780208', False)
('6034624158938884975', True)
('406173802148978', True)
('31102380571056', True)
('9929586128796', True)
('7255507047894749755', False)
('3312011290679', True)
('8312635563630481', False)
('1951107899950', True)
('79386241279239048', True)
('3466126891250965', False)
('1924776765469586', False)
('6044191231880594', False)
('5375889921723', False)
('031293021339662', True)
('0167928198354', True)
('18798728898601', True)
('88465529093230523', True)
('0725798782730151045', False)
('49046511334280996', True)
('4950732355960531049', False)
('84348860535576', False)
('5452454444782255', True)
('7344800777208', True)
('89211543159492', False)
('18025272995983', True)
('582242152592115', False)
('8725947879629016293', True)
('39494410668644', True)
('0129683697392', True)
('0071395474842684145', False)
('8083139945412657', True)
('7481655038979', True)
('09488480093453823', False)
('519604074412043', True)
('61443231104963198', False)
('5980163611429324', True)
('35022066036318296', False)
('586521621377411054', True)
('89877837379655', True)
('648912122745632419', False)
('01330804068498405', False)
('3376040622046', False)
('83425426110515', False)
('147256156378954887', True)
('7557286803985917', True)
('224062552002761121', True)
('0451730993511', True)
('74963370780723000', False)
('26296149771456517', False)
('875567449800192', False)
('8801360480269095643', False)
('2379728586773363', True)
('671792571957471', True)
('4078012630931155354', False)
('9735314914633', False)
('8027868671122926755', True)
('788659144651453', False)
('2593168492794775', False)
('01820349928844965', False)
('316805822728848460', True)
('6376955214811794', True)
('06034390720687736', False)
('6946161077333601', False)
('3356364135773405789', True)
('9350187211990', True)
('4936777388241', True)
('5651898284775531', True)
('363582106837618290', False)
('898957286895178', True)
('44354539167162', True)
('2230286783320', False)
('065867303926101968', True)
('88311058463569', True)
('06129260303176005', True)
('65736071386232321', True)
('7846052125710776', True)
('06387182327782310', False)
('0174124621960269345', False)
('5953151021842063024', True)
('9009976274416201468', False)
('2598587847050658208', True)
('10685442700103661', True)
('3338372874066616', True)
('510713305326021143', True)
('39588297413964', False)
('0271039468583511408', True)
('2448412314055', False)
('769693594642092625', True)
('38873914184847', False)
('48839520652954', False)
('694709996894017', False)
('96652567180586', False)
('8951394385420889003', True)
('5724012321659', False)
('773851257620335719', True)
('086174880055595932', True)
('5761850903326655584', False)
('1920439251559438427', True)
('65385986685056630', True)
('1944180343793441', False)
('9973871191317', True)
('88747570683079', False)
('6631535581704284', True)
('09469544075235186', False)
('8795679175960957', True)
('9104560687659084019', False)
('8743751851707', True)
('46322135086024278', True)
('4575828811197', False)
('19976515441626709', True)
('257658218900962', True)
('1334042107393', True)
('489380878652881685', True)
('1632455970335006', True)
('98759880189729', False)
('3692903202585362', False)
('965835500652328', True)
('1512406624318392354', False)
('8388621806516418100', True)
('31553624106150', False)
('25177037497078267', False)
('9465288136936', False)
('1981264041888', False)
('915770956922241', False)
('458616644535585', False)
('4390671661223513936', False)
('66575963562094826', False)
('7226589132723', False)
('70861681235148358', False)
('328173609934837646', True)
('17030446457069', True)
('7963991722430808032', False)
('6657340468841909558', False)
('431260111218714', True)
('63986422823017', True)
('3526725790373', False)
('4632073410928547636', False)
('8422382223368', True)
('548777717134532', False)
('368865784032452108', True)
('69395399031311', True)
('4939958616323', True)
('45840196531897', False)
('12468105081033', False)
('8946120443172267869', True)
('3876744675281602', True)
('98495849813538804', True)
('1258778783830', False)
('07602449377718', False)
('3403861363390987090', True)
('1157216646141292', True)
('730347693551961', False)
('4677287190711207', False)
('103152276993637', False)
('7472455963839', False)
('200059334525219514', True)
('049687196671311', False)
('5831962199232922', True)
('94779480511149378', False)
('7788813506504918', True)
('797450603514799', True)
('5916325495011697', True)
('2668073726665', False)
('7392745489496', True)
('4704200205889', False)
('5238135831441044765', False)
('9536405950068312116', True)
('1276968636145', False)
('735994831896038053', False)
('39594348381689', True)
('0011623036909332900', False)
('7779035480039206656', True)
('1483579401282386', True)
('75587842165443808', False)
('05875836793802099', True)
('9401703929845', True)
('8040398313929237', True)
('83146229474841406', True)
('48012015053572918', False)
('091666060642277188', True)
('1835572145777287', False)
('6797062453043', True)
('1325089230955769473', True)
('432008296196896758', False)
('19042361471073292', True)
('8220362696375', True)
('796287401857819', False)
('07238215361394', True)
('8003928768601603', True)
('42492991320507', True)
('80041936012928', True)
('6817892097545045278', True)
('62262514679589', True)
('24851590166598011', True)
('15550277835101', False)
('9916627025407606', False)
('53550069250999933', False)
('106589038193830', True)
('5505457317108', True)
('85403714437690', False)
('050970592863964182', False)
('880127209845356', False)
('650287224870426', False)
('23944099946917', True)
('9584141922943', False)
('52416202655164487', False)
('4737259145285', False)
('96345688513095418', False)
('604170932191953055', True)
('2228595310755641361', True)
('07730631157257', False)
('4086690426375419451', True)
('0570033827693749', False)
('5590175164933', True)
('6288337732583345', True)
('35051432660391107', False)
('3611705002717354729', True)
('08811042209284870', False)
('83125708760827', True)
('3147051827031544', False)
('08600025277780', False)
('94411506643614', True)
('982720975594095797', False)
('1359784884925', False)
('5074291995312977', False)
('4210264433559', True)
('126917605877000084', True)
('8702053012129', True)
('2541742988844', True)
('534266133559860644', False)
('9002913969838426061', False)
('85556570648788793', True)
('39949475750458321', False)
('86845199113965', False)
('860476023462634', True)
('0816378994353', True)
('0682305320849', False)
('049036416144100', False)
('91029091302413278', True)
('238578335765011', True)
('15483087727361793', False)
('5139454501223434', True)
('24670534189032482', True)
('6122214166668', True)
('3722711461596', True)
('58502738396130', False)
('68845576810128', True)
('5697512636770167195', True)
('0981895780661118700', False)
('27584470224538449', True)
('4743880910212058', True)
('52165377435675644', True)
('6460629171059', True)
('536790492224604', True)
('8697084436177997', False)
('21840417743493', False)
('20100165340732', False)
('48863202879701', True)
('01570901850861318', True)
('9324940438182', True)
('151134006336006', False)
('27830651447101301', False)
('045710273236239256', True)
('989623027116568', False)
('73845576123907268', False)
('61190447945481', False)
('5956063802423', True)
('2317575538946380', False)
('71849860020026863', False)
('2872416088045', True)
('5261433728912829575', False)
('86775103469088037', False)
('1315038778743559173', False)
('699580267879168', True)
('0393571161359592704', False)
('729009097599832', False)
('587631319750033216', True)
('1174833036579', False)
('3481656831646805709', True)
('63100654652439176', False)
('37879740595982', True)
('9594096880177', True)
('35330303218978', True)
('57678939114253404', True)
('6329886029159251', False)
